split,model,roc_auc,pr_auc,brier
month_aware,GradientBoosting,0.8000330809532277,0.5529630344092463,0.11740701268934138
month_aware,CatBoost,0.7971154442565263,0.5617044138043946,0.11605206725145426
month_aware,KNN,0.7914265540811559,0.5337700037402683,0.11857073254719229
month_aware,RandomForest,0.7938124144547225,0.5640024765553299,0.19725613469945671
month_aware,XGBoost,0.8010205474070736,0.5557299651988252,0.11654957517079773
random,GradientBoosting,0.8296516050285391,0.5557005957418619,0.07009433651580833
random,CatBoost,0.8151024959903769,0.5293633374011304,0.07209557168389417
random,KNN,0.8406566200056607,0.48609811970811834,0.07417235211637459
random,RandomForest,0.8735941996084721,0.5846108777543194,0.13799244765291532
random,XGBoost,0.8380656959054673,0.5412971535138292,0.07100477781289637
