rank,model,shap_selection_score,precision_at_k_mean,precision_at_k_std,lift_at_k_mean,lift_at_k_std,pr_auc,roc_auc,brier,precision_at_k_mean_random,score_precision_mean,score_lift_mean,score_pr_auc,score_brier,score_precision_random
1,GradientBoosting,0.9542306559243287,0.6452626049967926,0.10536928594852382,3.340853134235252,0.545550457266939,0.5598032393514197,0.8064764236181465,0.1153527909226435,0.5224652002264336,0.9424544161386271,0.9424544161386267,0.9454038049352661,1.0,0.993544905081984
2,CatBoost,0.9145610815648872,0.6353775148642308,0.09688539688221634,3.2896729882050457,0.5016250427795792,0.5566444651311847,0.7938429109584793,0.1165588697871884,0.5234746783874358,0.8830725462304416,0.8830725462304411,0.9285350749714132,0.993403592215597,1.0
3,KNN,0.905983818712688,0.6419711627466429,0.10362803720611896,3.3238116613954904,0.5365351257205284,0.5384009823836561,0.7914357547212723,0.1177060650694314,0.4862027654431129,0.9226820121556966,0.9226820121556966,0.8311098199161876,0.9871292364396389,0.7616652394017316
4,RandomForest,0.8964215007148159,0.6545492510838725,0.10561785389210306,3.3889348306582288,0.5468374201049316,0.5606865776594501,0.792641452088442,0.2258750267381061,0.5176083811090404,0.9982413035044613,0.9982413035044615,0.950121076365885,0.3955206760398306,0.9624880386597491
5,XGBoost,0.894758796527926,0.6350761401650672,0.09390271668867604,3.288112617899247,0.48618218835744836,0.5440054495083292,0.7804845119112108,0.1209451015879795,0.518412758842696,0.8812621233673865,0.8812621233673866,0.8610392279478788,0.9694139722616378,0.9676316215734505
6,ExtraTrees,0.8677039835985595,0.6533545156693317,0.11558756960513082,3.382749076945954,0.5984557158644838,0.5658476167518182,0.7951419586405383,0.2575307737134591,0.5052434991738354,0.9910642700116385,0.9910642700116383,0.9776824557846293,0.22238588203271875,0.8834209625948535
7,LogReg,0.8408014871592527,0.6548420150773456,0.10020351431211968,3.3904506189552905,0.5188046266104265,0.5700267152066236,0.8247647117201682,0.298191527393215,0.49470454272137054,1.0,1.0,1.0,0.0,0.8160297431850546
8,AdaBoost,0.8277650416176601,0.6323766839311316,0.0962441822127013,3.2741361581601622,0.4983051478689213,0.5038848182963382,0.7903184455260077,0.1255640632406219,0.48518540722683384,0.8650459071511704,0.865045907151171,0.646783935638938,0.9441514828034161,0.755159755573151
9,LightGBM,0.7191788046418988,0.6105356289474704,0.1140569914335785,3.1610538929984737,0.5905311331565669,0.4846479034144766,0.7190462554428505,0.1494775032166307,0.5174027906463657,0.7338419759472392,0.7338419759472394,0.5440534776020852,0.8133616926439453,0.9611733931309283
10,DecisionTree,0.687929751349227,0.6272899095445367,0.11367996340554443,3.247799336498712,0.5885790670374427,0.508963385634197,0.7762508735439213,0.2909388638031466,0.5125452319884772,0.834488555541187,0.8344885555411874,0.6739048930270249,0.039666996885179835,0.9301117977266536
11,NaiveBayes,0.4457032220535027,0.5682785907719067,0.06568468087036967,2.9422676851210894,0.3400830456587633,0.4703922789988835,0.7676853877294475,0.2491570422052595,0.4418223946435757,0.47999482736324833,0.4799948273632485,0.467924491493399,0.2681843362872273,0.4778755378757947
12,MLP,0.07896051640826844,0.48837554731798044,0.09513423438328093,2.5285689350450453,0.4925583826665967,0.382770518266854,0.6535031695688311,0.2019445870522041,0.36708996618363127,0.0,0.0,0.0,0.5264034427217896,0.0
